jaratszam,legitarsasag,kiindulas,celallomas,indulas,idotartam,ar,tipus
W6-101,WizzAir,Budapest,London,2025-06-05 08:30,2:30,28000,nemzetkozi
LH-204,Lufthansa,Budapest,Frankfurt,2025-06-06 12:00,1:45,35000,nemzetkozi
RY-876,Ryanair,Budapest,Dublin,2025-06-07 07:00,3:10,32000,nemzetkozi
FR-331,FR,Budapest,Debrecen,2025-06-05 10:00,0:50,9000,belfoldi
MA-000,Malév,Budapest,Pécs,2025-06-05 14:00,1:00,9500,belfoldi
TK-768,Turkish Airlines,Budapest,Istanbul,2025-06-08 16:45,2:00,40000,nemzetkozi
LO-445,LOT,Budapest,Warsaw,2025-06-09 13:20,1:30,30000,nemzetkozi
AF-119,Air France,Budapest,Paris,2025-06-10 18:00,2:25,42000,nemzetkozi
FR-897,Ryanair,Szeged,Budapest,2025-06-05 11:15,0:55,8500,belfoldi
W6-232,WizzAir,Budapest,Barcelona,2025-06-11 06:10,2:50,37000,nemzetkozi
IB-334,Iberia,Budapest,Madrid,2025-06-12 13:00,3:05,36000,nemzetkozi
W6-420,WizzAir,Budapest,Milánó,2025-06-07 09:45,1:40,31000,nemzetkozi
FR-111,Ryanair,Budapest,Róma,2025-06-08 07:00,1:50,32000,nemzetkozi
MA-001,Malév,Budapest,Szeged,2025-06-06 08:00,0:45,8000,belfoldi
MA-002,Malév,Budapest,Győr,2025-06-07 12:30,1:00,8500,belfoldi
FR-990,FR,Budapest,Miskolc,2025-06-08 14:30,0:50,8000,belfoldi
BA-234,British Airways,Budapest,London,2025-06-09 17:00,2:40,43000,nemzetkozi
SN-789,Brussels Airlines,Budapest,Brussels,2025-06-10 10:30,2:00,41000,nemzetkozi
FR-559,Ryanair,Budapest,Nagykanizsa,2025-06-11 09:00,1:10,7800,belfoldi
LH-888,Lufthansa,Budapest,München,2025-06-12 15:00,1:35,34000,nemzetkozi